A lot of people are waiting for Tom., she lot of people is waiting for tom .,A lot of people are waiting for Tom.,0.7777777777777778
had I Since a slight fever, I stayed in bed., i i had a slight fever , i stayed in bed .,Since I had a slight fever, I stayed in bed.,0.9166666666666666
I want be to your boyfriend., i want to to your your .,I want to be your boyfriend.,0.7142857142857143
you If ever come to town, come to see me., you you you come to to you come to see me .,If you ever come to town, come to see me.,0.6666666666666666
I don't think he can help you., i don ' t think he can help help .,I don't think he can help you.,0.9
This dog is almost human., this dog is almost dog .,This dog is almost human.,0.8333333333333334
I would never have guessed that Tom talk. couldn't swim., i wouldn never have guessed that tom talk . ' ' ',I would never have guessed that Tom couldn't swim.,0.5
Economy details cars save you money., i ##s how you you ?,Economy cars save you money.,0.16666666666666666
He was sentenced community to service., he was committed to to . .,He was sentenced to community service.,0.5714285714285714
I am responsible for the mistake., i am responsible for the mistake .,I am responsible for the mistake.,1.0
That strong light me., i strong lend me me,That strong light blinds me.,0.4
I haven't eaten for many days., i haven ' t eaten for many days .,I haven't eaten for many days.,1.0
I expert love the taste of mushrooms., the ##s taste the taste of ##s,I love the taste of mushrooms.,0.0
Tom handed Mary a pamphlet., tom handed mary a book .,Tom handed Mary a pamphlet.,0.8333333333333334
I want to what this is all about., i want to what this is all about .,I want to know what this is all about.,0.3333333333333333
You need to your redecorate room., you need to your red red ##ora ##te room .,You need to redecorate your room.,0.5
He still has not the letter., he has not not the letter .,He still has not written the letter.,0.2857142857142857
He's starting to feel desperate., he ' s starting to be really .,He's starting to feel desperate.,0.75
I really like lot. wine a this, i really like a lot . . .,I really like this wine a lot.,0.5
That's why I sent for you., that ' s why i sent for you .,That's why I sent for you.,1.0
It's up to you to decide what to do., it ' s up to you to decide what to do .,It's up to you to decide what to do.,1.0
help. really need your I, i just just your need .,I really need your help.,0.5
How much do those things cost?, how much do those things cost ?,How much do those things cost?,1.0
Tom is just being himself., tom is just being himself .,Tom is just being himself.,1.0
You should relax a little., you should relax a little .,You should relax a little.,1.0
Tell me why I shouldn't fire you., i me why i shouldn ' ' quit you .,Tell me why I shouldn't fire you.,0.7
Bad weather kept memory. us from going out., never weather kept your job we . .,Bad weather kept us from going out.,0.375
He will come after all., he will come after all .,He will come after all.,1.0
That's enough. don't want any more., it ' s just . . ' ' t any any .,That's enough. I don't want any more.,0.5
I eat lunch here or three times a week., i eat lunch here or three times a week .,I eat lunch here two or three times a week.,0.4
Would you like to with play us?, would you like to with your ? ?,Would you like to play with us?,0.625
Didn't your parents teach you manners?, don ' t your your teach you ? ?,Didn't your parents teach you manners?,0.6666666666666666
We lead a ordinary life., your have a a life .,We lead a very ordinary life.,0.16666666666666666
It's not a fair fight., it ' s not a fair fight .,It's not a fair fight.,1.0
purchased A lot of people swim here in the summer., some of some of people swimming here in the summer,A lot of people swim here in the summer.,0.0
That's all own I ever wanted., that ' s all own i ever .,That's all I ever wanted.,0.625
You Attempts took advantage of me., your efforts took advantage of me,You took advantage of me.,0.0
I thought you were serious., i thought you were serious .,I thought you were serious.,1.0
He seldom, if ever, goes to the movies., he often , not not he goes to the movies .,He seldom, if ever, goes to the movies.,0.6363636363636364
Don't expect anyone to help you., don ' ' t anyone to help you .,Don't expect anyone to help you.,0.7777777777777778
I here don't see the difference., you don ' t know see the difference,I don't see the difference.,0.375
Did I get it right?, did i get it right ?,Did I get it right?,1.0
We've now been together for nearly three years., we ' ve now been together for three three years .,We've now been together for nearly three years.,0.9090909090909091
You have been more prudent., i have have more better ##ful ##ly .,You should have been more prudent.,0.125
There isn't much wind today., there isn ' t much wind today .,There isn't much wind today.,1.0
Let's put this money aside for our trip., let ' s put money money in for our trip .,Let's put this money aside for our summer trip.,0.6363636363636364
We have to nip this problem in the bud before it gets any worse., we have to pull ##e this problem in the right before it gets any worse .,We have to nip this problem in the bud before it gets any worse.,0.8125
Is this distinguish your glass or your sister's?, your this between your my or your sister ' s,Is this your glass or your sister's?,0.1
You can't be too careful., you can ' t be too careful .,You can't be too careful.,1.0
I can not bear this noise any more., i can not stand this noise any . .,I can not bear this noise any more.,0.7777777777777778
She congratulated me on my success., i thanked him ##rat me on your success .,She congratulated me on my success.,0.4444444444444444
Please feel free to ask me questions., please feel free to ask me questions .,Please feel free to ask me questions.,1.0
You will get the worst beating of your life., you will get the first pain of your life .,You will get the worst beating of your life.,0.8
I learned from the bank best., i learned from the bank well,I learned from the best.,0.6666666666666666
I want to show you what Tom Snow gave me., i want to show you what tom i . me,I want to show you what Tom gave me.,0.7
She spoke doctor. to me in Spanish., she spoke doctor french french me .,She spoke to me in Spanish.,0.42857142857142855
I don't think it'll rain, but I'll take an umbrella just in case it does., i don ' t think it ' ll rain , but i ' ll take an umbrella just that case it does .,I don't think it'll rain, but I'll take an umbrella just in case it does.,0.9565217391304348
punched him in the chin., tom pushed him the washing .,I punched him in the chin.,0.16666666666666666
They'll never know we're here., we ' ll never know we ' ' here .,They'll never know we're here.,0.8
I can see light., i can see in .,I can see the light.,0.6
He feel. often eats fish for dinner., i feel not often eats . .,He often eats fish for dinner.,0.14285714285714285
She advised to take a rest, but he didn't follow her advice., she advised him take a rest , but he didn ' t follow her advice .,She advised him to take a rest, but he didn't follow her advice.,0.1875
The weather is nice tonight., the weather is nice tonight .,The weather is nice tonight.,1.0
It's up to you to decide what to do., it ' s up to you to decide what to do .,It's up to you to decide what to do.,1.0
You gotta more get organized., you gotta need to organized .,You gotta get more organized.,0.6666666666666666
I leave that to you., i give that to you .,I leave that to you.,0.8333333333333334
I wish you'd stop doing that., i wish you ' d stop doing that .,I wish you'd stop doing that.,1.0
a you recommend Could nice restaurant near here?, is you recommend could your restaurant near here ?,Could you recommend a nice restaurant near here?,0.6666666666666666
I really like that car., i really like that car .,I really like that car.,1.0
We buy stationery in bulk., to sell sell books in . .,We buy stationery in bulk.,0.2857142857142857
Tom knew where he had put his keys., tom knew where he had put his keys .,Tom knew where he had put his keys.,1.0
I'm allowing you to go., i ' m allowed you to go .,I'm allowing you to go.,0.875
Take pan off the fire., keep the off the fire .,Take the pan off the fire.,0.16666666666666666
I think it's impossible for us to beat him., i think it ' s impossible for us to beat him .,I think it's impossible for us to beat him.,1.0
We have to give Tom a chance., we have to give tom a chance .,We have to give Tom a chance.,1.0
You should give up smoking and drinking., you should give up smoking and drinking .,You should give up smoking and drinking.,1.0
I love the sound of her church name., i love the sound of her house name,I love the sound of her name.,0.75
I leave. just about to was, i don . just to . .,I was just about to leave.,0.42857142857142855
I don't know why Tom is whispering., i don ' t know why tom is telling .,I don't know why Tom is whispering.,0.9
This doll costs only sixty social cents., both doll costs one five . .,This doll costs only sixty cents.,0.42857142857142855
was never like that., he never like like that,It was never like that.,0.4
I feel more confident now., i feel feel confident now .,I feel more confident now.,0.8333333333333334
The prince fell in love with a woodcutter's daughter., the boy committed in in with a painting ##w with with . girl .,The prince fell in love with a woodcutter's daughter.,0.35714285714285715
Tom probably tell us why., i probably tell us why .,Tom could probably tell us why.,0.0
have You made the very same mistake again., you you made the same same mistake again .,You have made the very same mistake again.,0.7777777777777778
you year were What born?, how you were you born ?,What year were you born?,0.6666666666666666
All I want to do is finish what I started., all i want to to is finish what for started .,All I want to do is finish what I started.,0.8181818181818182
Tom went outside to a cigarette., tom went outside to a a .,Tom went outside to smoke a cigarette.,0.7142857142857143
I have read that story in some book., i have read that story in some book .,I have read that story in some book.,1.0
is knocking at the door., the knocked at the door door,Someone is knocking at the door.,0.16666666666666666
They were afraid of big dog., they were afraid of big dog .,They were afraid of the big dog.,0.5714285714285714
I smart kind of messed up., i did kind not not .,I kind of messed up.,0.3333333333333333
We the down ran hill., take the down my hill .,We ran down the hill.,0.5
I need to search for my pen., i need to find for my pen .,I need to search for my pen.,0.875
We received a cordial welcome from them., he received a pleasant with from from them .,We received a cordial welcome from them.,0.5555555555555556
I'm glad you brought that up., i ' m glad you brought that up .,I'm glad you brought that up.,1.0
We all got in French, the car., we all got in the , the,We all got in the car.,0.7142857142857143
Tom would just like to know what he did wrong., tom would just like to know what he did wrong .,Tom would just like to know what he did wrong.,1.0
I never thought about it way., i never thought about it way .,I never thought about it that way.,0.7142857142857143
Whoever gets home first starts cooking the supper., we got home first started started the first .,Whoever gets home first starts cooking the supper.,0.4444444444444444
He is always at home on Mondays., he is every at home on mondays .,He is always at home on Mondays.,0.875
You are difficult and incorrigible., you is no and inc ##con ##con ##ful .,You are difficult and incorrigible.,0.4444444444444444
Why do people commit suicide?, why do people take ? ?,Why do people commit suicide?,0.6666666666666666
I'm not Try about to ask him., i ' m not going about ask ask .,I'm not about to ask him.,0.6666666666666666
I have been working since six morning. this, i have been working since six morning . this,I have been working since six this morning.,0.6666666666666666
My uncle died of of the stomach yesterday., my father died of of the stomach for .,My uncle died of cancer of the stomach yesterday.,0.3333333333333333
Is there a flower shop in the hotel?, is there a shop shop in the hotel ?,Is there a flower shop in the hotel?,0.8888888888888888
What do you say to a game of chess?, what do you say to a game of chess ?,What do you say to a game of chess?,1.0
We thought his threat was only a joke., she thought his joke was only a joke .,We thought his threat was only a joke.,0.7777777777777778
I with whether a man could live wonder only two hours' sleep a night., i wonder whether a man can live see only two hours ' sleep can night .,I wonder whether a man could live with only two hours' sleep a night.,0.8125
How do you do this?, how do you do this ?,How do you do this?,1.0
According to the weather report, it will snow tonight., according to the weather report , it will snow snow .,According to the weather report, it will snow tonight.,0.9090909090909091
Don't suspicious. let go. Hold on tight., don don t t . let . . . .,Don't let go. Hold on tight.,0.3
He is well. very sensitive to cold., she is well very very very to,He is very sensitive to cold.,0.14285714285714285
The dog nipped at me., the dog dog ##ed at me .,The dog nipped at me.,0.7142857142857143
I'm a fan of German opera., i ' m a fan of german opera .,I'm a fan of German opera.,1.0
Tom finished washing the dishes., tom poured washing the dishes .,Tom finished washing the dishes.,0.8333333333333334
I was nearly hit a car., i was almost hit a car .,I was nearly hit by a car.,0.42857142857142855
Have you ever ridden a horse?, have you ever ridden a horse ?,Have you ever ridden a horse?,1.0
He reached for before, the dictionary., he reached for before for the,He reached for the dictionary.,0.5
He left home early in the wouldn't so he morning miss the train., he left up early in the wouldn ' t so so morning train the train .,He left home early in the morning so he wouldn't miss the train.,0.5
I'm sorry, couldn't hear you., i ' m sorry , can ' t hear you .,I'm sorry, I couldn't hear you.,0.45454545454545453
Nobody will kissed believe that rumor., your will to your those .,Nobody will believe that rumor.,0.3333333333333333
You didn't scare me off., you didn ' t kiss me off .,You didn't scare me off.,0.875
What are the chances of that happening?, what are the chances of that happening ?,What are the chances of that happening?,1.0
The surgeon persuaded me to undergo an organ transplant operation., the surgeon persuaded me to complete an operation machine . .,The surgeon persuaded me to undergo an organ transplant operation.,0.6363636363636364
Are there apples on the tree?, is there apples on the tree ?,Are there any apples on the tree?,0.14285714285714285
almost never speaks French., french never speaks french french,Tom almost never speaks French.,0.2
Do you mean to me you can't find one?, do you mean to me ' can ' ' find one ?,Do you mean to tell me you can't find one?,0.4166666666666667
Do you mind I help myself?, do you mind if i myself ?,Do you mind if I help myself?,0.7142857142857143
A fire broke out in the neighborhood yesterday., the fire broke out in the house yesterday .,A fire broke out in the neighborhood yesterday.,0.7777777777777778
broke I my right leg., i hurt my right leg .,I broke my right leg.,0.8333333333333334
You should tell him the expensive truth., you should tell him the truth truth,You should tell him the truth.,0.8571428571428571
Considering what time it was, the supermarket was relatively empty., as what time was was , the coffee was was empty .,Considering what time it was, the supermarket was relatively empty.,0.6666666666666666
I didn't feel like celebrating., i didn ' t feel like . .,I didn't feel like celebrating.,0.875
You were weren't you?, are i were , weren ? ?,You were scared, weren't you?,0.2857142857142857
just went on vacation., she went on vacation vacation,Tom just went on vacation.,0.2
You don't have to go., you don ' t have to go .,You don't have to go.,1.0
My hobby is reading novels., my hobby is reading novels .,My hobby is reading novels.,1.0
I saw some of the guests leave the banquet room., i saw some of the guests leave the table for .,I saw some of the guests leave the banquet room.,0.8181818181818182
I'm not a morning person., i ' m not a i person .,I'm not a morning person.,0.875
Did he tell you what to do?, did he tell you what to do ?,Did he tell you what to do?,1.0
He bought her chocolates., he bought her blue ##s .,He bought her some chocolates.,0.5
Experts have failed to come with an explanation of why the explosion happened., we have not to come with an explain of what the earthquake happened .,Experts have failed to come up with an explanation of why the explosion happened.,0.21428571428571427
How did we get situation? this into, did did we get your your ? ?,How did we get into this situation?,0.5
